post_id,product_id,product_name_pos,posted_date,posted_time,media_type
1,137,SUPER FAMOUS,2026-04-01,13:22,photo
2,133,NEW POPULAR,2026-04-01,13:23,photo
3,123,MEDIUM SUPER,2026-04-01,16:56,photo
4,118,PRESTIGE EMBELLISHED,2026-04-01,23:54,photo
5,156,NEW ULTRA EMBELLISHED,2026-04-01,23:56,photo
6,150,LAGOS LACE C,2026-04-02,11:58,photo
7,149,LAGOS LAFFAYA LACE A,2026-04-02,12:04,photo
8,138,HOLLANDAD,2026-04-02,12:05,photo
9,121,WOODIN LE CREATURE,2026-04-02,12:21,photo
10,119,SUPER WAX MEDIUM,2026-04-02,12:47,photo
11,155,MUHANTEX EMBELLISHED,2026-04-02,14:32,photo
12,117,EMBELLISHED MDT,2026-04-02,15:05,photo
13,116,MEDIUM GLITTER,2026-04-02,15:06,photo
14,112,STONE EMBELLISHED MIX ND MATCH,2026-04-02,17:06,photo
15,107,HOLLANTEX GOLD STONE,2026-04-02,17:10,photo
16,28,SWISS LAFAYA B,2026-04-02,19:47,photo
17,18,SWISS LUXURY LACE C,2026-04-02,20:01,photo
18,138,HOLLANDAD,2026-04-03,12:22,photo
19,125,HOLLANTEX,2026-04-03,12:57,photo
20,124,HOLLANTEX COTED'VIORE,2026-04-03,13:43,photo
21,103,AMIMMA BATIK,2026-04-03,13:59,photo
22,102,ZAHRA BATIK,2026-04-03,14:13,photo
23,102,ZAHRA BATIK,2026-04-03,14:16,photo
24,101,JIDDAM METTALIC,2026-04-03,14:18,photo
25,150,LAGOS LACE C,2026-04-03,14:23,photo
26,150,LAGOS LACE C,2026-04-03,16:57,photo
27,18,SWISS LUXURY LACE C,2026-04-03,19:39,photo
28,139,CHIGANVY INDIA,2026-04-04,11:26,photo
29,127,SUPER BRILLIANT,2026-04-04,11:38,photo
30,0,SUPER STONE,2026-04-04,12:22,photo
31,19,SWISS LUXURY LACE D,2026-04-04,16:40,photo
